id,winner_system_name,winner_weighted_score,winner_overall_score,margin_vs_runner_up
obd_cot_000003,llama_soft_prompt,5.0,10.0,0.0
obd_cot_000008,gemma_flamingo,5.0,10.0,0.0
obd_cot_000009,gemma_soft_prompt,5.0,10.0,0.0
obd_cot_000010,gemma_flamingo,5.0,10.0,0.0
obd_cot_000024,gemma_flamingo,5.0,10.0,0.0
obd_cot_000025,gemma_flamingo,5.0,10.0,0.0
obd_cot_000028,gemma_soft_prompt,5.0,10.0,0.0
obd_cot_000030,gemma_flamingo,5.0,10.0,0.0
obd_cot_000037,gemma_flamingo,5.0,10.0,0.0
obd_cot_000041,gemma_flamingo,5.0,10.0,0.0
obd_cot_000042,llama_soft_prompt,5.0,10.0,0.0
obd_cot_000052,llama_soft_prompt,5.0,10.0,0.0
obd_cot_000057,gemma_soft_prompt,5.0,10.0,0.0
obd_cot_000058,gemma_flamingo,5.0,10.0,0.0
obd_cot_000059,llama_soft_prompt,5.0,10.0,0.5
obd_cot_000061,gemma_flamingo,5.0,10.0,0.0
obd_cot_000064,llama_soft_prompt,5.0,10.0,0.0
obd_cot_000072,gemma_flamingo,5.0,10.0,0.0
obd_cot_000073,gemma_flamingo,5.0,10.0,0.0
obd_cot_000088,llama_flamingo,5.0,10.0,0.5
obd_cot_000089,llama_soft_prompt,5.0,10.0,0.0
obd_cot_000109,llama_soft_prompt,5.0,10.0,0.8000000000000007
obd_cot_000110,gemma_flamingo,5.0,10.0,0.0
obd_cot_000116,gemma_flamingo,5.0,10.0,0.0
obd_cot_000131,llama_soft_prompt,5.0,10.0,0.0
obd_cot_000141,llama_soft_prompt,5.0,10.0,0.0
obd_cot_000145,llama_soft_prompt,5.0,10.0,0.6000000000000005
obd_cot_000152,gemma_flamingo,5.0,10.0,0.0
obd_cot_000153,llama_soft_prompt,5.0,10.0,0.0
obd_cot_000156,gemma_flamingo,5.0,10.0,0.0
obd_cot_000164,gemma_soft_prompt,5.0,10.0,0.0
obd_cot_000165,gemma_flamingo,5.0,10.0,0.0
obd_cot_000168,llama_flamingo,5.0,10.0,0.5
obd_cot_000175,gemma_soft_prompt,5.0,10.0,0.0
obd_cot_000177,gemma_soft_prompt,5.0,10.0,0.0
obd_cot_000182,gemma_soft_prompt,5.0,10.0,0.0
obd_cot_000185,gemma_flamingo,5.0,10.0,0.0
obd_cot_000192,gemma_flamingo,5.0,10.0,0.0
obd_cot_000193,llama_soft_prompt,5.0,10.0,0.0
