id,winner_system_name,winner_weighted_score,winner_overall_score,margin_vs_runner_up
obd_cot_000002,gemma_soft_prompt,0.0,0.0,
obd_cot_000003,gemma_flamingo,30.0,10.0,0.0
obd_cot_000007,gemma_soft_prompt,0.0,0.0,
obd_cot_000008,gemma_flamingo,30.0,10.0,0.0
obd_cot_000009,gemma_flamingo,30.0,10.0,0.0
obd_cot_000010,gemma_flamingo,30.0,10.0,0.0
obd_cot_000023,gemma_soft_prompt,0.0,0.0,
obd_cot_000024,gemma_flamingo,30.0,10.0,0.0
obd_cot_000025,llama_soft_prompt,30.0,10.0,0.0
obd_cot_000027,gemma_soft_prompt,0.0,0.0,
obd_cot_000028,gemma_flamingo,30.0,10.0,0.0
obd_cot_000029,gemma_soft_prompt,0.0,0.0,
obd_cot_000030,gemma_flamingo,30.0,10.0,0.0
obd_cot_000036,gemma_soft_prompt,0.0,0.0,
obd_cot_000037,gemma_flamingo,30.0,10.0,0.0
obd_cot_000040,gemma_soft_prompt,0.0,0.0,
obd_cot_000041,gemma_flamingo,30.0,10.0,0.0
obd_cot_000042,gemma_flamingo,30.0,10.0,0.0
obd_cot_000051,gemma_soft_prompt,0.0,0.0,
obd_cot_000052,gemma_flamingo,30.0,10.0,0.0
obd_cot_000056,gemma_soft_prompt,0.0,0.0,
obd_cot_000057,gemma_flamingo,30.0,10.0,0.0
obd_cot_000058,gemma_flamingo,30.0,10.0,0.0
obd_cot_000059,gemma_flamingo,30.0,10.0,0.0
obd_cot_000060,gemma_soft_prompt,0.0,0.0,
obd_cot_000061,gemma_flamingo,30.0,10.0,0.0
obd_cot_000063,gemma_soft_prompt,0.0,0.0,
obd_cot_000064,gemma_flamingo,30.0,10.0,0.0
obd_cot_000071,gemma_soft_prompt,0.0,0.0,
obd_cot_000072,gemma_flamingo,30.0,10.0,0.0
obd_cot_000073,gemma_flamingo,30.0,10.0,0.0
obd_cot_000087,gemma_soft_prompt,0.0,0.0,
obd_cot_000088,gemma_flamingo,30.0,10.0,0.0
obd_cot_000089,gemma_flamingo,30.0,10.0,0.0
obd_cot_000108,gemma_soft_prompt,0.0,0.0,
obd_cot_000109,gemma_flamingo,30.0,10.0,0.0
obd_cot_000110,gemma_flamingo,30.0,10.0,0.0
obd_cot_000115,gemma_soft_prompt,0.0,0.0,
obd_cot_000116,gemma_flamingo,30.0,10.0,0.0
obd_cot_000130,gemma_soft_prompt,0.0,0.0,
obd_cot_000131,gemma_flamingo,30.0,10.0,0.0
obd_cot_000140,gemma_soft_prompt,0.0,0.0,
obd_cot_000141,gemma_flamingo,30.0,10.0,0.0
obd_cot_000144,gemma_soft_prompt,0.0,0.0,
obd_cot_000145,gemma_flamingo,30.0,10.0,0.0
obd_cot_000151,gemma_soft_prompt,0.0,0.0,
obd_cot_000152,gemma_flamingo,30.0,10.0,0.0
obd_cot_000153,gemma_flamingo,30.0,10.0,0.0
obd_cot_000155,gemma_soft_prompt,0.0,0.0,
obd_cot_000156,gemma_flamingo,30.0,10.0,0.0
obd_cot_000164,gemma_flamingo,30.0,10.0,0.0
obd_cot_000165,gemma_flamingo,30.0,10.0,0.0
obd_cot_000167,gemma_soft_prompt,0.0,0.0,
obd_cot_000168,gemma_flamingo,30.0,10.0,0.0
obd_cot_000174,gemma_soft_prompt,0.0,0.0,
obd_cot_000175,gemma_flamingo,30.0,10.0,0.0
obd_cot_000177,gemma_flamingo,30.0,10.0,0.0
obd_cot_000178,gemma_soft_prompt,0.0,0.0,
obd_cot_000182,gemma_flamingo,30.0,10.0,0.0
obd_cot_000185,gemma_flamingo,30.0,10.0,0.0
obd_cot_000190,gemma_soft_prompt,0.0,0.0,
obd_cot_000192,gemma_flamingo,30.0,10.0,0.0
obd_cot_000193,gemma_flamingo,30.0,10.0,0.0
