backend,cuda_0_max_memory_allocated_bytes,cuda_0_max_memory_reserved_bytes,cuda_0_memory_allocated_bytes,cuda_0_memory_reserved_bytes,cuda_device_count,disk_free_bytes,disk_percent,disk_total_bytes,disk_used_bytes,elapsed_s,label,model_name,n_predictions,notebook,pending_examples,phase,process_cpu_percent,process_read_bytes,process_read_count,process_rss_bytes,process_vms_bytes,process_write_bytes,process_write_count,resumed_examples,stage,step,system_cpu_percent,system_ram_available_bytes,system_ram_percent,system_ram_total_bytes,system_ram_used_bytes,timestamp_utc
hf,8519680,1931476992,8519680,1931476992,1,378264469504,62.1,999327526912,621063057408,0.001,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,0,setup,0.0,158886932,16761,1509482496,5490016256,380924,154,39,inference,0,0.0,50088927232,26.9,68541702144,18452774912,2026-03-10T14:58:07.862041+00:00
hf,8519680,1931476992,8519680,1931476992,1,378264469504,62.1,999327526912,621063057408,0.508089,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,27.3,158887809,16785,1509515264,5490020352,380924,154,,inference,1,0.0,50091999232,26.9,68541702144,18449702912,2026-03-10T14:58:08.369130+00:00
hf,8519680,1931476992,8519680,1931476992,1,378264469504,62.1,999327526912,621063057408,1.014494,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,0.0,158887886,16789,1509519360,5490024448,380924,154,,inference,2,3.3,50107691008,26.9,68541702144,18434011136,2026-03-10T14:58:08.874537+00:00
hf,8519680,1931476992,8519680,1931476992,1,378264469504,62.1,999327526912,621063057408,1.53111,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,24.2,162955574,16801,1548242944,5528604672,380924,154,,inference,3,3.8,50071289856,26.9,68541702144,18470412288,2026-03-10T14:58:09.391150+00:00
hf,8519680,1931476992,8519680,1931476992,1,378264469504,62.1,999327526912,621063057408,2.036269,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,51.5,163011053,16817,1550360576,6990995456,380924,154,,inference,4,9.5,50052853760,27.0,68541702144,18488848384,2026-03-10T14:58:09.895310+00:00
hf,1761450496,2426404864,1138997760,2426404864,1,378264469504,62.1,999327526912,621063057408,3.183308,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,103.1,163011053,16817,1549254656,6062665728,380924,154,,inference,5,14.9,50010750976,27.0,68541702144,18530951168,2026-03-10T14:58:10.399759+00:00
hf,1761450496,2426404864,8519680,2426404864,1,378264469504,62.1,999327526912,621063057408,3.695277,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,110.8,163051024,16839,1528221696,6041452544,380924,154,,inference,6,8.6,50037411840,27.0,68541702144,18504290304,2026-03-10T14:58:11.554305+00:00
hf,1761450496,2426404864,8519680,2426404864,1,378264469504,62.1,999327526912,621063057408,4.212531,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,3.0,163061822,16855,1528221696,6041452544,380924,154,,inference,7,5.2,50038407168,27.0,68541702144,18503294976,2026-03-10T14:58:12.071576+00:00
hf,1761450496,2426404864,8519680,2426404864,1,378264133632,62.1,999327526912,621063393280,4.715491,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,0.0,163062646,16881,1528221696,6041452544,380924,154,,inference,8,1.9,50065289216,27.0,68541702144,18476412928,2026-03-10T14:58:12.574533+00:00
hf,1761450496,2426404864,8519680,2426404864,1,378264133632,62.1,999327526912,621063393280,5.232396,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,21.2,163121800,16901,1353093120,5935054848,380924,154,,inference,9,6.4,50216087552,26.7,68541702144,18325614592,2026-03-10T14:58:13.091920+00:00
hf,1761450496,2426404864,8519680,2426404864,1,378264133632,62.1,999327526912,621063393280,5.741029,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,6.1,163122566,16911,1353093120,5935054848,380924,154,,inference,10,4.0,50219225088,26.7,68541702144,18322477056,2026-03-10T14:58:13.599932+00:00
hf,1761450496,2426404864,8519680,2426404864,1,378264129536,62.1,999327526912,621063397376,6.262673,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,12.1,164522663,16935,1359065088,5940703232,380924,154,,inference,11,3.5,50240102400,26.7,68541702144,18301599744,2026-03-10T14:58:14.122713+00:00
hf,1761450496,2426404864,8519680,2426404864,1,378263982080,62.1,999327526912,621063544832,6.775375,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,,obd_baseline_evaluation,,sample,348.2,164523004,16945,1553420288,6208311296,380924,154,,inference,12,15.1,50060931072,27.0,68541702144,18480771072,2026-03-10T14:58:14.635416+00:00
hf,1761450496,2426404864,8519680,2426404864,1,378263982080,62.1,999327526912,621063544832,7.16659,obd_baseline_llama_3_2_1b,meta-llama/Llama-3.2-1B,39,obd_baseline_evaluation,0,finished,1182.9,164523004,16945,1616879616,6224703488,517651,175,,inference,13,8.9,50025611264,27.0,68541702144,18516090880,2026-03-10T14:58:15.026130+00:00
