cuda_0_max_memory_allocated_bytes,cuda_0_max_memory_reserved_bytes,cuda_0_memory_allocated_bytes,cuda_0_memory_reserved_bytes,cuda_device_count,device,disk_free_bytes,disk_percent,disk_total_bytes,disk_used_bytes,elapsed_s,inference_latency_s,label,llm_id,n_predictions,notebook,phase,prediction_chars,process_cpu_percent,process_read_bytes,process_read_count,process_rss_bytes,process_vms_bytes,process_write_bytes,process_write_count,sample_id,stage,step,system_cpu_percent,system_ram_available_bytes,system_ram_percent,system_ram_total_bytes,system_ram_used_bytes,test_batches,timestamp_utc
8681141760,19507707904,8681141760,19507707904,1,cuda,380373012480,61.9,999327526912,618954514432,0.00125,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,setup,,0.0,152885637,15466,9883426816,23356080128,18112113585,3060,,inference,0,0.0,41911889920,38.9,68541702144,26629812224,39,2026-03-10T13:43:43.205600+00:00
8835152384,19507707904,8704657920,19507707904,1,cuda,380367175680,61.9,999327526912,618960351232,0.504622,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,96.9,152885637,15466,10030424064,23528714240,18112129981,3065,,inference,1,100.0,41756004352,39.1,68541702144,26785697792,,2026-03-10T13:43:43.709146+00:00
8835152384,19507707904,8700984832,19507707904,1,cuda,380361183232,61.9,999327526912,618966343680,1.019235,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,96.9,152885637,15466,10030428160,23528718336,18112129981,3065,,inference,2,8.9,41767469056,39.1,68541702144,26774233088,,2026-03-10T13:43:44.223473+00:00
8835152384,19507707904,8701748736,19507707904,1,cuda,380355162112,61.9,999327526912,618972364800,1.534356,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,97.1,152885637,15466,10030702592,23528992768,18112129981,3065,,inference,3,4.2,41743085568,39.1,68541702144,26798616576,,2026-03-10T13:43:44.738632+00:00
8835152384,19507707904,8702540800,19507707904,1,cuda,380349435904,61.9,999327526912,618978091008,2.036758,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.0,152885637,15466,10030702592,23528992768,18112129981,3065,,inference,4,11.8,41757945856,39.1,68541702144,26783756288,,2026-03-10T13:43:45.241784+00:00
8835152384,19507707904,8681141760,19507707904,1,cuda,380346671104,61.9,999327526912,618980855808,2.240008,2.237361999999848,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,inference_step,540,100.1,152885637,15466,10030710784,23529058304,18112129981,3065,obd_cot_000088,inference,1,8.2,41756442624,39.1,68541702144,26785259520,,2026-03-10T13:43:45.444524+00:00
8836888064,19507707904,8700202496,19507707904,1,cuda,380343050240,61.9,999327526912,618984476672,2.551818,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,94.8,152885637,15466,10031009792,23529410560,18112129981,3065,,inference,2,9.4,41754169344,39.1,68541702144,26787532800,,2026-03-10T13:43:45.756099+00:00
8836888064,19507707904,8700913664,19507707904,1,cuda,380337655808,61.9,999327526912,618989871104,3.052652,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,93.8,152885637,15466,10031009792,23529410560,18112129981,3065,,inference,3,8.9,41750892544,39.1,68541702144,26790809600,,2026-03-10T13:43:46.257678+00:00
8836888064,19507707904,8701697024,19507707904,1,cuda,380330430464,61.9,999327526912,618997096448,3.566382,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,96.9,152885637,15466,10031009792,23529410560,18112129981,3065,,inference,4,12.4,41753272320,39.1,68541702144,26788429824,,2026-03-10T13:43:46.770654+00:00
8836888064,19507707904,8702424576,19507707904,1,cuda,380324311040,61.9,999327526912,619003215872,4.070233,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,103.1,152885637,15466,10031009792,23529410560,18112129981,3065,,inference,5,10.5,41749860352,39.1,68541702144,26791841792,,2026-03-10T13:43:47.275259+00:00
