best_val,checkpoint_path,cuda_0_max_memory_allocated_bytes,cuda_0_max_memory_reserved_bytes,cuda_0_memory_allocated_bytes,cuda_0_memory_reserved_bytes,cuda_device_count,device,disk_free_bytes,disk_percent,disk_total_bytes,disk_used_bytes,elapsed_s,epoch,grad_norm,label,llm_id,loss,lr,notebook,num_epochs,phase,process_cpu_percent,process_read_bytes,process_read_count,process_rss_bytes,process_vms_bytes,process_write_bytes,process_write_count,stage,step,step_duration_s,system_cpu_percent,system_ram_available_bytes,system_ram_percent,system_ram_total_bytes,system_ram_used_bytes,timestamp_utc,train_batches,train_loss,val_batches,val_loss
,,3623056896,3640655872,3623056896,3640655872,1,cuda,385707425792,61.4,999327526912,613620101120,0.002001,,,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_flamingo_alignment_training,200,setup,0.0,152742911,15424,1052352512,6662045696,279859,152,train,0,,0.0,50699358208,26.0,68541702144,17842343936,2026-03-10T13:15:16.173291+00:00,58,,39,
,,10966642176,11400118272,7715006976,11400118272,1,cuda,385706799104,61.4,999327526912,613620727808,0.512028,,,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_flamingo_alignment_training,,sample,93.9,152885621,15464,1735139328,15084400640,279859,152,train,1,,0.0,49959940096,27.1,68541702144,18581762048,2026-03-10T13:15:16.683316+00:00,,,,
,,10966642176,11939086336,8681407488,11939086336,1,cuda,385706668032,61.4,999327526912,613620858880,0.85685,1,14.125,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,3.641453742980957,1.7241379310344828e-07,obd_flamingo_alignment_training,,train_step,131.7,152885621,15464,2397560832,15792582656,279859,152,train,1,0.8507591000088723,10.1,49288015872,28.1,68541702144,19253686272,2026-03-10T13:15:17.029140+00:00,,,,
,,11249272320,11945377792,11144807424,11945377792,1,cuda,385706668032,61.4,999327526912,613620858880,1.021452,,,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_flamingo_alignment_training,,sample,100.2,152885621,15464,2400407552,15801520128,279859,152,train,2,,10.7,49286090752,28.1,68541702144,19255611392,2026-03-10T13:15:17.185741+00:00,,,,
,,14281903104,14577303552,13273753088,14577303552,1,cuda,385706672128,61.4,999327526912,613620854784,1.605287,,,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_flamingo_alignment_training,,sample,103.2,152885621,15464,5026721792,18439168000,279859,152,train,3,,7.2,46620917760,32.0,68541702144,21920784384,2026-03-10T13:15:17.701923+00:00,,,,
,,14617896448,15250489344,12076108288,15250489344,1,cuda,385706672128,61.4,999327526912,613620854784,3.11521,,,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_flamingo_alignment_training,,sample,121.0,152885621,15464,5689696256,19113885696,279859,152,train,4,,8.2,45960339456,32.9,68541702144,22581362688,2026-03-10T13:15:18.290988+00:00,,,,
,,14617896448,15250489344,9019969536,15250489344,1,cuda,385706672128,61.4,999327526912,613620854784,4.502589,,,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_flamingo_alignment_training,,sample,164.6,152885621,15464,5675053056,19110871040,279859,152,train,5,,14.2,45830119424,33.1,68541702144,22711582720,2026-03-10T13:15:19.796335+00:00,,,,
,,14617896448,15252586496,8682793984,15252586496,1,cuda,385706672128,61.4,999327526912,613620854784,4.974474,1,14.3125,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,3.5889785289764404,3.4482758620689656e-07,obd_flamingo_alignment_training,,train_step,174.6,152885621,15464,5675155456,19113250816,279859,152,train,2,4.115366400001221,12.3,45588094976,33.5,68541702144,22953607168,2026-03-10T13:15:21.145763+00:00,,,,
,,14617896448,15252586496,9750050304,15252586496,1,cuda,385706672128,61.4,999327526912,613620854784,5.244863,,,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_flamingo_alignment_training,,sample,151.2,152885621,15464,5675511808,19113320448,279859,152,train,3,,14.4,45579620352,33.5,68541702144,22962081792,2026-03-10T13:15:21.185766+00:00,,,,
,,14617896448,15252586496,13264408576,15252586496,1,cuda,385706672128,61.4,999327526912,613620854784,5.799004,,,obd_flamingo_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_flamingo_alignment_training,,sample,183.1,152885621,15464,5675520000,19113320448,279859,152,train,4,,14.0,45423624192,33.7,68541702144,23118077952,2026-03-10T13:15:21.923689+00:00,,,,
