cuda_0_max_memory_allocated_bytes,cuda_0_max_memory_reserved_bytes,cuda_0_memory_allocated_bytes,cuda_0_memory_reserved_bytes,cuda_device_count,device,disk_free_bytes,disk_percent,disk_total_bytes,disk_used_bytes,elapsed_s,inference_latency_s,label,llm_id,n_predictions,notebook,phase,prediction_chars,process_cpu_percent,process_read_bytes,process_read_count,process_rss_bytes,process_vms_bytes,process_write_bytes,process_write_count,sample_id,stage,step,system_cpu_percent,system_ram_available_bytes,system_ram_percent,system_ram_total_bytes,system_ram_used_bytes,test_batches,timestamp_utc
2633233408,23993516032,2633233408,23993516032,1,cuda,386389028864,61.3,999327526912,612938498048,0.0,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,setup,,0.0,284799845,17182,14525399040,28210917376,343168033,8822,,inference,0,0.0,38081974272,44.4,68541702144,30459727872,39,2026-03-10T12:53:52.005534+00:00
2768584704,23993516032,2656245248,23993516032,1,cuda,386389028864,61.3,999327526912,612938498048,0.515985,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,109.0,284799845,17182,14525452288,28210921472,343168033,8822,,inference,1,0.0,38118580224,44.4,68541702144,30423121920,,2026-03-10T12:53:52.521519+00:00
2768584704,23993516032,2657014272,23993516032,1,cuda,386389028864,61.3,999327526912,612938498048,1.03132,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,97.1,284799845,17182,14525460480,28210929664,343168033,8822,,inference,2,8.3,38121123840,44.4,68541702144,30420578304,,2026-03-10T12:53:53.036854+00:00
2768584704,23993516032,2657790464,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,1.546289,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,93.9,284799845,17182,14525460480,28210929664,343168033,8822,,inference,3,9.1,38121127936,44.4,68541702144,30420574208,,2026-03-10T12:53:53.551823+00:00
2768584704,23993516032,2658531328,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,2.047986,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,100.0,284799845,17182,14525460480,28210929664,343168033,8822,,inference,4,8.8,38122704896,44.4,68541702144,30418997248,,2026-03-10T12:53:54.053520+00:00
2768584704,23993516032,2659288576,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,2.563635,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,100.1,284799845,17182,14525460480,28210929664,343168033,8822,,inference,5,8.0,38123016192,44.4,68541702144,30418685952,,2026-03-10T12:53:54.569169+00:00
2768584704,23993516032,2633233408,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,2.734278,2.7230413000070257,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,inference_step,661,99.9,284799845,17182,14525468672,28210929664,343168033,8822,obd_cot_000088,inference,1,8.6,38122999808,44.4,68541702144,30418702336,,2026-03-10T12:53:54.739812+00:00
2770974720,23993516032,2656331776,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,3.064581,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,109.6,284799845,17182,14525468672,28210929664,343168033,8822,,inference,2,8.3,38125105152,44.4,68541702144,30416596992,,2026-03-10T12:53:55.070115+00:00
2770974720,23993516032,2657823232,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,3.565604,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,100.0,284799845,17182,14525468672,28210929664,343168033,8822,,inference,3,7.0,38125539328,44.4,68541702144,30416162816,,2026-03-10T12:53:55.571138+00:00
2770974720,23993516032,2657760256,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,4.076243,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,100.0,284799845,17182,14525468672,28210929664,343168033,8822,,inference,4,8.5,38125756416,44.4,68541702144,30415945728,,2026-03-10T12:53:56.081777+00:00
2770974720,23993516032,2658547712,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,4.577238,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,96.9,284799845,17182,14525468672,28210929664,343168033,8822,,inference,5,10.5,38126157824,44.4,68541702144,30415544320,,2026-03-10T12:53:56.582772+00:00
2770974720,23993516032,2633233408,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,4.798814,2.0664191999967443,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,inference_step,495,107.0,284799845,17182,14525468672,28210929664,343168033,8822,obd_cot_000177,inference,2,8.0,38126100480,44.4,68541702144,30415601664,,2026-03-10T12:53:56.804348+00:00
2770974720,23993516032,2656069632,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,5.07827,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,94.5,284799845,17182,14525468672,28210929664,343168033,8822,,inference,3,7.0,38126280704,44.4,68541702144,30415421440,,2026-03-10T12:53:57.083804+00:00
2770974720,23993516032,2656769024,23993516032,1,cuda,386389032960,61.3,999327526912,612938493952,5.580763,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,106.2,284799845,17182,14525468672,28210929664,343168033,8822,,inference,4,8.2,38126202880,44.4,68541702144,30415499264,,2026-03-10T12:53:57.586297+00:00
2770974720,23993516032,2657525760,23993516032,1,cuda,386389098496,61.3,999327526912,612938428416,6.09818,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,99.9,284799845,17182,14525468672,28210929664,343168033,8822,,inference,5,5.9,38145466368,44.3,68541702144,30396235776,,2026-03-10T12:53:58.103714+00:00
2770974720,23993516032,2663770112,23993516032,1,cuda,386389098496,61.3,999327526912,612938428416,6.615151,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,97.1,284799845,17182,14525468672,28210929664,343168033,8822,,inference,6,9.3,38143782912,44.3,68541702144,30397919232,,2026-03-10T12:53:58.620685+00:00
2770974720,23993516032,2659034624,23993516032,1,cuda,386389098496,61.3,999327526912,612938428416,7.115461,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,100.0,284799845,17182,14525468672,28210929664,343168033,8822,,inference,7,8.4,38143733760,44.3,68541702144,30397968384,,2026-03-10T12:53:59.120995+00:00
2770974720,23993516032,2633233408,23993516032,1,cuda,386389098496,61.3,999327526912,612938428416,7.365484,2.5749152000062168,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,inference_step,639,106.2,284799845,17182,14525468672,28210929664,343168033,8822,obd_cot_000041,inference,3,7.8,38144143360,44.3,68541702144,30397558784,,2026-03-10T12:53:59.371018+00:00
2770974720,23993516032,2656112640,23993516032,1,cuda,386389098496,61.3,999327526912,612938428416,7.62759,,obd_soft_prompt_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_soft_prompt_training,sample,,99.9,284799845,17182,14525468672,28210929664,343168033,8822,,inference,4,9.4,38144180224,44.3,68541702144,30397521920,,2026-03-10T12:53:59.633124+00:00
