best_val,checkpoint_path,cuda_0_max_memory_allocated_bytes,cuda_0_max_memory_reserved_bytes,cuda_0_memory_allocated_bytes,cuda_0_memory_reserved_bytes,cuda_device_count,device,disk_free_bytes,disk_percent,disk_total_bytes,disk_used_bytes,elapsed_s,epoch,grad_norm,label,llm_id,loss,lr,notebook,num_epochs,phase,process_cpu_percent,process_read_bytes,process_read_count,process_rss_bytes,process_vms_bytes,process_write_bytes,process_write_count,stage,step,step_duration_s,system_cpu_percent,system_ram_available_bytes,system_ram_percent,system_ram_total_bytes,system_ram_used_bytes,timestamp_utc,train_batches,train_loss,val_batches,val_loss
,,2569833472,23968350208,2569833472,23968350208,1,cuda,386408779776,61.3,999327526912,612918747136,0.01558,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,200,setup,0.0,252437367,16644,14520238080,28171931648,149799970,5579,train,0,,0.0,37816705024,44.8,68541702144,30724997120,2026-03-10T12:50:22.813397+00:00,58,,39,
,,9964710912,23980933120,2633233408,23980933120,1,cuda,386408779776,61.3,999327526912,612918747136,0.498825,1,24.7041015625,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.3551764488220215,1.7241379310344828e-07,obd_soft_prompt_training,,train_step,106.5,252437367,16644,14528315392,28192874496,149799970,5579,train,1,0.4785643000068376,6.8,37804879872,44.8,68541702144,30736822272,2026-03-10T12:50:23.297642+00:00,,,,
,,9964710912,23980933120,3308433920,23980933120,1,cuda,386408779776,61.3,999327526912,612918747136,0.523344,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,,sample,97.7,252437367,16644,14528393216,28192759808,149799970,5579,train,2,,0.0,37804810240,44.8,68541702144,30736891904,2026-03-10T12:50:23.312243+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408779776,61.3,999327526912,612918747136,0.86246,1,29.576696395874023,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.402524948120117,3.4482758620689656e-07,obd_soft_prompt_training,,train_step,95.8,252437367,16644,14530523136,28194893824,149799970,5579,train,2,0.3606616000033682,5.4,37805154304,44.8,68541702144,30736547840,2026-03-10T12:50:23.661277+00:00,,,,
,,10360892416,23983030272,5598899200,23983030272,1,cuda,386408779776,61.3,999327526912,612918747136,1.101291,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,,sample,100.2,252437367,16644,14530572288,28194951168,149799970,5579,train,3,,7.3,37806776320,44.8,68541702144,30734925824,2026-03-10T12:50:23.826740+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408779776,61.3,999327526912,612918747136,1.19385,1,23.906408309936523,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.535223960876465,5.172413793103449e-07,obd_soft_prompt_training,,train_step,99.9,252437367,16644,14530572288,28194951168,149799970,5579,train,3,0.33336279999639373,8.8,37803401216,44.8,68541702144,30738300928,2026-03-10T12:50:23.992667+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408779776,61.3,999327526912,612918747136,1.529008,1,27.272327423095703,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.797476291656494,6.896551724137931e-07,obd_soft_prompt_training,,train_step,85.7,252437367,16644,14530576384,28194951168,149799970,5579,train,4,0.33681150000484195,4.4,37803458560,44.8,68541702144,30738243584,2026-03-10T12:50:24.327825+00:00,,,,
,,10360892416,23983030272,8857457664,23983030272,1,cuda,386408779776,61.3,999327526912,612918747136,1.687193,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,,sample,79.1,252437367,16644,14530592768,28194971648,149799970,5579,train,5,,5.2,37803790336,44.8,68541702144,30737911808,2026-03-10T12:50:24.406383+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408779776,61.3,999327526912,612918747136,1.888935,1,22.455970764160156,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.346458435058594,8.620689655172415e-07,obd_soft_prompt_training,,train_step,72.3,252437367,16644,14530592768,28194971648,149799970,5579,train,5,0.3504547999909846,5.6,37815115776,44.8,68541702144,30726586368,2026-03-10T12:50:24.686753+00:00,,,,
,,10360892416,23983030272,2633390592,23983030272,1,cuda,386408779776,61.3,999327526912,612918747136,2.216546,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,,sample,95.2,252437367,16644,14530592768,28194971648,149799970,5579,train,6,,8.9,37814095872,44.8,68541702144,30727606272,2026-03-10T12:50:24.995539+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408779776,61.3,999327526912,612918747136,2.216546,1,21.577362060546875,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.484674453735352,1.0344827586206898e-06,obd_soft_prompt_training,,train_step,195.3,252437367,16644,14530592768,28194971648,149799970,5579,train,6,0.33120980000239797,12.3,37814095872,44.8,68541702144,30727606272,2026-03-10T12:50:25.015363+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408714240,61.3,999327526912,612918812672,2.553722,1,19.208343505859375,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.453415870666504,1.206896551724138e-06,obd_soft_prompt_training,,train_step,109.0,252437367,16644,14530613248,28194979840,149799970,5579,train,7,0.3314535999961663,5.3,37814292480,44.8,68541702144,30727409664,2026-03-10T12:50:25.351539+00:00,,,,
,,10360892416,23983030272,6740891136,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,2.756503,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,,sample,99.9,252437367,16644,14523604992,28182372352,149799970,5579,train,8,,7.2,37823401984,44.8,68541702144,30718300160,2026-03-10T12:50:25.527966+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,2.886907,1,20.50572967529297,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.681445598602295,1.3793103448275862e-06,obd_soft_prompt_training,,train_step,110.2,252437367,16644,14523604992,28182372352,149799970,5579,train,8,0.3341048000002047,11.7,37826306048,44.8,68541702144,30715396096,2026-03-10T12:50:25.685724+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,3.23367,1,19.519948959350586,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.693799018859863,1.5517241379310346e-06,obd_soft_prompt_training,,train_step,95.4,252437367,16644,14523625472,28182392832,149799970,5579,train,9,0.34237410000059754,4.7,37825810432,44.8,68541702144,30715891712,2026-03-10T12:50:26.031488+00:00,,,,
,,10360892416,23983030272,3799937024,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,3.269954,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,,sample,67.9,252437367,16644,14523637760,28182409216,149799970,5579,train,10,,6.3,37825810432,44.8,68541702144,30715891712,2026-03-10T12:50:26.066771+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,3.569787,1,17.317724227905273,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.4784955978393555,1.724137931034483e-06,obd_soft_prompt_training,,train_step,105.2,252437367,16644,14523637760,28182409216,149799970,5579,train,10,0.3341555000079097,6.9,37823868928,44.8,68541702144,30717833216,2026-03-10T12:50:26.367604+00:00,,,,
,,10360892416,23983030272,5580648960,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,3.80801,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,,sample,115.5,252437367,16644,14523641856,28182413312,149799970,5579,train,11,,7.6,37823913984,44.8,68541702144,30717788160,2026-03-10T12:50:26.576223+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,3.915197,1,28.548927307128906,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.62256383895874,1.896551724137931e-06,obd_soft_prompt_training,,train_step,88.7,252437367,16644,14523641856,28182413312,149799970,5579,train,11,0.3470260000030976,11.9,37819293696,44.8,68541702144,30722408448,2026-03-10T12:50:26.714014+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,4.248237,1,21.4158935546875,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.522993564605713,2.0689655172413796e-06,obd_soft_prompt_training,,train_step,114.3,252437367,16644,14523650048,28182413312,149799970,5579,train,12,0.3297555999888573,5.9,37818355712,44.8,68541702144,30723346432,2026-03-10T12:50:27.047054+00:00,,,,
,,10360892416,23983030272,6807628800,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,4.352367,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,,sample,49.6,252437367,16644,14523650048,28182413312,149799970,5579,train,13,,8.2,37818355712,44.8,68541702144,30723346432,2026-03-10T12:50:27.111190+00:00,,,,
,,10360892416,23983030272,2633233408,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,4.608807,1,20.847270965576172,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,4.333331108093262,2.2413793103448275e-06,obd_soft_prompt_training,,train_step,121.0,252437367,16644,14523650048,28182413312,149799970,5579,train,13,0.3587559000006877,3.6,37818138624,44.8,68541702144,30723563520,2026-03-10T12:50:27.407624+00:00,,,,
,,10360892416,23983030272,4593947648,23983030272,1,cuda,386408583168,61.3,999327526912,612918943744,4.888701,,,obd_soft_prompt_llama_3_2_1b_train,meta-llama/Llama-3.2-1B,,,obd_soft_prompt_training,,sample,93.8,252437367,16644,14523686912,28182450176,149799970,5579,train,14,,4.7,37817110528,44.8,68541702144,30724591616,2026-03-10T12:50:27.658538+00:00,,,,
